v_ref (V),irrad (G),temp (C),current (A)
0.1,300.0,35.0,5.27
0.1,300.0,40.0,5.16
0.1,300.0,45.0,5.04
0.1,300.0,50.0,4.93
0.1,300.0,55.0,4.82
0.1,300.0,60.0,4.7
0.1,300.0,65.0,4.59
0.1,300.0,70.0,4.47
0.1,300.0,75.0,4.36
0.1,300.0,80.0,4.25
0.1,350.0,0.001,6.12
0.1,350.0,5.0,6.01
0.1,350.0,10.0,5.9
0.1,350.0,15.0,5.78
0.1,350.0,20.0,5.67
0.1,350.0,25.0,5.55
0.1,350.0,30.0,5.44
0.1,350.0,35.0,5.33
0.1,350.0,40.0,5.21
0.1,350.0,45.0,5.1
0.1,350.0,50.0,4.99
0.1,350.0,55.0,4.87
0.1,350.0,60.0,4.76
0.1,350.0,65.0,4.65
0.1,350.0,70.0,4.53
0.1,350.0,75.0,4.42
0.1,350.0,80.0,4.31
0.1,400.0,0.001,6.17
0.1,400.0,5.0,6.05
0.1,400.0,10.0,5.94
0.1,400.0,15.0,5.83
0.1,400.0,20.0,5.71
0.1,400.0,25.0,5.6
0.1,400.0,30.0,5.49
0.1,400.0,35.0,5.37
0.1,400.0,40.0,5.26
0.1,400.0,45.0,5.15
0.1,400.0,50.0,5.03
0.1,400.0,55.0,4.92
0.1,400.0,60.0,4.81
0.1,400.0,65.0,4.69
0.1,400.0,70.0,4.58
0.1,400.0,75.0,4.47
0.1,400.0,80.0,4.35
0.1,450.0,0.001,6.2
0.1,450.0,5.0,6.09
0.1,450.0,10.0,5.98
0.1,450.0,15.0,5.86
0.1,450.0,20.0,5.75
0.1,450.0,25.0,5.64
0.1,450.0,30.0,5.52
0.1,450.0,35.0,5.41
0.1,450.0,40.0,5.3
0.1,450.0,45.0,5.19
0.1,450.0,50.0,5.07
0.1,450.0,55.0,4.96
0.1,450.0,60.0,4.85
0.1,450.0,65.0,4.73
0.1,450.0,70.0,4.62
0.1,450.0,75.0,4.51
0.1,450.0,80.0,4.4
0.1,500.0,0.001,6.23
0.1,500.0,5.0,6.12
0.1,500.0,10.0,6.01
0.1,500.0,15.0,5.89
0.1,500.0,20.0,5.78
0.1,500.0,25.0,5.67
0.1,500.0,30.0,5.56
0.1,500.0,35.0,5.44
0.1,500.0,40.0,5.33
0.1,500.0,45.0,5.22
0.1,500.0,50.0,5.11
0.1,500.0,55.0,5.0
0.1,500.0,60.0,4.88
0.1,500.0,65.0,4.77
0.1,500.0,70.0,4.66
0.1,500.0,75.0,4.55
0.1,500.0,80.0,4.43
0.1,550.0,0.001,6.26
0.1,550.0,5.0,6.15
0.1,550.0,10.0,6.04
0.1,550.0,15.0,5.92
0.1,550.0,20.0,5.81
0.1,550.0,25.0,5.7
0.1,550.0,30.0,5.59
0.1,550.0,35.0,5.47
0.1,550.0,40.0,5.36
0.1,550.0,45.0,5.25
0.1,550.0,50.0,5.14
0.1,550.0,55.0,5.03
0.1,550.0,60.0,4.91
0.1,550.0,65.0,4.8
0.1,550.0,70.0,4.69
0.1,550.0,75.0,4.58
0.1,550.0,80.0,4.47
0.1,600.0,0.001,6.29
0.1,600.0,5.0,6.17
0.1,600.0,10.0,6.06
0.1,600.0,15.0,5.95
0.1,600.0,20.0,5.84
0.1,600.0,25.0,5.73
0.1,600.0,30.0,5.61
0.1,600.0,35.0,5.5
0.1,600.0,40.0,5.39
0.1,600.0,45.0,5.28
0.1,600.0,50.0,5.17
0.1,600.0,55.0,5.05
0.1,600.0,60.0,4.94
0.1,600.0,65.0,4.83
0.1,600.0,70.0,4.72
0.1,600.0,75.0,4.61
0.1,600.0,80.0,4.5
0.1,650.0,0.001,6.31
0.1,650.0,5.0,6.2
0.1,650.0,10.0,6.08
0.1,650.0,15.0,5.97
0.1,650.0,20.0,5.86
0.1,650.0,25.0,5.75
0.1,650.0,30.0,5.64
0.1,650.0,35.0,5.53
0.1,650.0,40.0,5.42
0.1,650.0,45.0,5.3
0.1,650.0,50.0,5.19
0.1,650.0,55.0,5.08
0.1,650.0,60.0,4.97
0.1,650.0,65.0,4.86
0.1,650.0,70.0,4.75
0.1,650.0,75.0,4.64
0.1,650.0,80.0,4.52
0.1,700.0,0.001,6.33
0.1,700.0,5.0,6.22
0.1,700.0,10.0,6.11
0.1,700.0,15.0,5.99
0.1,700.0,20.0,5.88
0.1,700.0,25.0,5.77
0.1,700.0,30.0,5.66
0.1,700.0,35.0,5.55
0.1,700.0,40.0,5.44
0.1,700.0,45.0,5.33
0.1,700.0,50.0,5.22
0.1,700.0,55.0,5.1
0.1,700.0,60.0,4.99
0.1,700.0,65.0,4.88
0.1,700.0,70.0,4.77
0.1,700.0,75.0,4.66
0.1,700.0,80.0,4.55
0.1,750.0,0.001,6.35
0.1,750.0,5.0,6.24
0.1,750.0,10.0,6.12
0.1,750.0,15.0,6.01
0.1,750.0,20.0,5.9
0.1,750.0,25.0,5.79
0.1,750.0,30.0,5.68
0.1,750.0,35.0,5.57
0.1,750.0,40.0,5.46
0.1,750.0,45.0,5.35
0.1,750.0,50.0,5.24
0.1,750.0,55.0,5.13
0.1,750.0,60.0,5.02
0.1,750.0,65.0,4.9
0.1,750.0,70.0,4.79
0.1,750.0,75.0,4.68
0.1,750.0,80.0,4.57
0.1,800.0,0.001,6.36
0.1,800.0,5.0,6.25
0.1,800.0,10.0,6.14
0.1,800.0,15.0,6.03
0.1,800.0,20.0,5.92
0.1,800.0,25.0,5.81
0.1,800.0,30.0,5.7
0.1,800.0,35.0,5.59
0.1,800.0,40.0,5.48
0.1,800.0,45.0,5.37
0.1,800.0,50.0,5.26
0.1,800.0,55.0,5.15
0.1,800.0,60.0,5.04
0.1,800.0,65.0,4.93
0.1,800.0,70.0,4.81
0.1,800.0,75.0,4.7
0.1,800.0,80.0,4.59
0.1,850.0,0.001,6.38
0.1,850.0,5.0,6.27
0.1,850.0,10.0,6.16
0.1,850.0,15.0,6.05
0.1,850.0,20.0,5.94
0.1,850.0,25.0,5.83
0.1,850.0,30.0,5.72
0.1,850.0,35.0,5.61
0.1,850.0,40.0,5.5
0.1,850.0,45.0,5.39
0.1,850.0,50.0,5.28
0.1,850.0,55.0,5.17
0.1,850.0,60.0,5.05
0.1,850.0,65.0,4.94
0.1,850.0,70.0,4.83
0.1,850.0,75.0,4.72
0.1,850.0,80.0,4.61
0.1,900.0,0.001,6.4
0.1,900.0,5.0,6.29
0.1,900.0,10.0,6.18
0.1,900.0,15.0,6.06
0.1,900.0,20.0,5.95
0.1,900.0,25.0,5.84
0.1,900.0,30.0,5.73
0.1,900.0,35.0,5.62
0.1,900.0,40.0,5.51
0.1,900.0,45.0,5.4
0.1,900.0,50.0,5.29
0.1,900.0,55.0,5.18
0.1,900.0,60.0,5.07
0.1,900.0,65.0,4.96
0.1,900.0,70.0,4.85
0.1,900.0,75.0,4.74
0.1,900.0,80.0,4.63
0.1,950.0,0.001,6.41
0.1,950.0,5.0,6.3
0.1,950.0,10.0,6.19
0.1,950.0,15.0,6.08
0.1,950.0,20.0,5.97
0.1,950.0,25.0,5.86
0.1,950.0,30.0,5.75
0.1,950.0,35.0,5.64
0.1,950.0,40.0,5.53
0.1,950.0,45.0,5.42
0.1,950.0,50.0,5.31
0.1,950.0,55.0,5.2
0.1,950.0,60.0,5.09
0.1,950.0,65.0,4.98
0.1,950.0,70.0,4.87
0.1,950.0,75.0,4.76
0.1,950.0,80.0,4.65
0.1,1000.0,0.001,6.42
0.1,1000.0,5.0,6.31
0.1,1000.0,10.0,6.2
